title,price,location,url
Apple MacBook Air M1,€500,"Ashtown, Co. Dublin",https://www.donedeal.ie/laptops-for-sale/apple-macbook-air-m1/40023355
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/40011460
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/40005629
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39999892
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39947606
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39875300
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39993127
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39883368
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39898338
Macbook Air M1,€539,"Kildare, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39910213
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39845474
N/A,N/A,N/A,https://www.donedeal.ie/cars?sellerType=pro
Mazda MX-5 2.0 RF Hard Top Exclusive-line // 6 Ye,"€47,995",N/A,https://www.donedeal.ie/cars-for-sale/mazda-mx-5-2-0-rf-hard-top-exclusive-line-6-ye/34469466
Mazda CX-60 2.5phev // Takumi Dri-p //6 Year Warr,"€65,500",N/A,https://www.donedeal.ie/cars-for-sale/mazda-cx-60-2-5phev-takumi-dri-p-6-year-warr/35107113
Nissan Ariya 87kw Advance // Demo Special,"€45,995",N/A,https://www.donedeal.ie/cars-for-sale/nissan-ariya-87kw-advance-demo-special/36094988
New Peugeot eRifter Fully Electric 50Kwh,"€39,070",N/A,https://www.donedeal.ie/cars-for-sale/new-peugeot-erifter-fully-electric-50kwh/36999770
Renault Arkana Esprit Alpine E-tech Full Hybrid 1,"€41,900",N/A,https://www.donedeal.ie/cars-for-sale/renault-arkana-esprit-alpine-e-tech-full-hybrid-1/38873276
Renault Master Lm35 Advance 2.0 DCI 130 BHP New M,"€36,056",N/A,https://www.donedeal.ie/cars-for-sale/renault-master-lm35-advance-2-0-dci-130-bhp-new-m/38593566
Macbook Air M1,€539,"Kildare, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39853114
Macbook Air M1,€539,"Kildare, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39859516
Macbook Air M1,€539,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39823379
MacBook Air M1,€800,"Leixlip, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39856352
MacBook Air M1,€699,"South City, Co. Dublin",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/38882051
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/40011463
MacBook Air M1,"€450
€400","Galway City, Co. Galway",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1/39756294
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/40005633
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39999903
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39947610
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39875304
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39883373
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39993128
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39898344
Macbook Air M1 256gb,€535,"Kildare, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39910234
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39845477
Macbook Air M1 256gb,€535,"Kildare, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39853149
Macbook Air M1 256gb,€535,"Kildare, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39859524
Macbook Air M1 256gb,€535,"Naas, Co. Kildare",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-256gb/39823383
MacBook Air M1 13.3,"€250
€230","Drogheda, Co. Louth",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-13-3/38837306
MacBook Air M1 Silver,€480,"Passage West, Co. Cork",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-silver/39993912
"MacBook Air M1 2020 13""","€500
€400","Phibsborough, Co. Dublin",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-2020-13/39989555
MacBook Air 13” M1 – Mint Condition,€629,"Dublin 2, Co. Dublin",https://www.donedeal.ie/laptops-for-sale/macbook-air-13-m1-mint-condition/39888215
MacBook Air M1 (2020) with Magic Trackpad,"€600
€550","Granagh, Co. Limerick",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-2020-with-magic-trackpad/39914871
MacBook Air 13 inch M1 Space Grey,"€600
€500",Co. Galway,https://www.donedeal.ie/laptops-for-sale/macbook-air-13-inch-m1-space-grey/39561551
MacBook Air M1 16GB / 512GB SSD - Mint Condition,"€900
€750","South City, Co. Dublin",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-16gb-512gb-ssd-mint-condition/39564816
Apple Macbook Air M1(2020) 512GB 8GB RAM,€600,"Westport, Co. Mayo",https://www.donedeal.ie/laptops-for-sale/apple-macbook-air-m12020-512gb-8gb-ram/39962659
Laptop for Sale: MacBook Air 2020 - M1 / 8GB RAM,"€500
€450","Kilmeaden, Co. Waterford",https://www.donedeal.ie/laptops-for-sale/laptop-for-sale-macbook-air-2020-m1-8gb-ram/39949223
Apple Macbook Air M1 13' (2020) 256gb SSD 8GB RAM,€460,"Westport, Co. Mayo",https://www.donedeal.ie/laptops-for-sale/apple-macbook-air-m1-13-2020-256gb-ssd-8gb-ram/39825120
MacBook Air M1 chip 256gb Space grey like New.,€350,"Blanchardstown, Co. Dublin",https://www.donedeal.ie/laptops-for-sale/macbook-air-m1-chip-256gb-space-grey-like-new-/39837894
Dacia Duster Expression 1.2 TCE 130 BHP 5DR orde,"€28,390",N/A,https://www.donedeal.ie/cars-for-sale/dacia-duster-expression-1-2-tce-130-bhp-5dr-orde/38534054
Mazda 2 1.5 Hybrid // Centre-line //order NOW //.,"€28,995",N/A,https://www.donedeal.ie/cars-for-sale/mazda-2-1-5-hybrid-centre-line-order-now-/34593803
Nissan X-Trail Epower SV Premium 5 Seater// Demo,"€47,995",N/A,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-epower-sv-premium-5-seater-demo/34648676
Renault Rafale Techno E-tech Hybrid 1.2 200 BHP A,"€51,495",N/A,https://www.donedeal.ie/cars-for-sale/renault-rafale-techno-e-tech-hybrid-1-2-200-bhp-a/37256741
Renault Austral Techno Esprit Alpine E-tech Hybri,"€47,795",N/A,https://www.donedeal.ie/cars-for-sale/renault-austral-techno-esprit-alpine-e-tech-hybri/36818992
Apple MacBook Air * New *,€625,Co. Dublin,https://www.donedeal.ie/laptops-for-sale/apple-macbook-air-new/39845888
Laptop,€699,"Cork City, Co. Cork",https://www.donedeal.ie/laptops-for-sale/laptop/39968234
Macbook,€480,"Glen, Co. Donegal",https://www.donedeal.ie/laptops-for-sale/macbook/39906137
Apple MacBook Air,€599,"Glasnevin, Co. Dublin",https://www.donedeal.ie/laptops-for-sale/apple-macbook-air/39942535
MacBook,"€650
€550",Co. Louth,https://www.donedeal.ie/laptops-for-sale/macbook/39922657
💻 Brand New MacBook Covers – Multiple Models,€35,"Cork City, Co. Cork",https://www.donedeal.ie/laptops-for-sale/brand-new-macbook-covers-multiple-models/39825875
Apple macbook AIR 2020,€749,"Cork City, Co. Cork",https://www.donedeal.ie/laptops-for-sale/apple-macbook-air-2020/39655751
"Camera Bag – Waterproof, Tripod & Laptop Slot",€129,"Ennis, Co. Clare",https://www.donedeal.ie/computeraccessories-for-sale/camera-bag-waterproof-tripod-laptop-slot/39915990
